title,description,skill,link
.Net Yazýlým Uzmaný,Turpak Elektromanyetik Yakýt Ýkmal Sis.Tic.A.Þ.,"html5 , javascript , mvc , cs , html",https://www.kariyer.net//is-ilani/turpak-elektromanyetik-yakit-ikmal-sis-tic-a-s--net-yazilim-uzmani-2741743
Uygulama Güvenliði Uzmaný,Sigorta Bilgi ve Gözetim Merkezi,linux,https://www.kariyer.net//is-ilani/sigorta-bilgi-ve-gozetim-merkezi-uygulama-guvenligi-uzmani-3197539
ASP.NET Web Yazýlým Uzmaný,TUS-DATA YAYINCILIK.EÐT.DANÞ.SAÐ.VE BÝLGHÝZ.SAN.TÝC.A.Þ.,"mvc , bootstrap , seo , cs",https://www.kariyer.net//is-ilani/tus-data-yayincilik-egt-dans-sag-ve-bilghiz-san-ti-asp-net-web-yazilim-uzmani-3436754
Yazýlým Geliþtirme Uzmaný,TRÝA LOJÝSTÝK HÝZMETLER TÝCARET ANONÝM ÞÝRKETÝ,microsoft,https://www.kariyer.net//is-ilani/tria-lojistik-hizmetler-ticaret-anonim-sirketi-yazilim-gelistirme-uzmani-3465664
Yazýlým Geliþtirme Uzmaný - Hybrid,Logo Yazýlým San Ve Tic A.Þ.,"git , java , sql , xml",https://www.kariyer.net//is-ilani/logo-yazilim-san-ve-tic-a-s-yazilim-gelistirme-uzmani-hybrid-3397778
Yazýlým Geliþtirme Uzmaný,Ekoten Tekstil,"javascript , mvc",https://www.kariyer.net//is-ilani/ekoten-tekstil-yazilim-gelistirme-uzmani-3430178
Software Developer,Asis,"electronics , scrum , software development , web service , automotive , big data , communication , design , management , sql , artificial intelligence , engineering",https://www.kariyer.net//is-ilani/asis-software-developer-3445682
Yazýlým Geliþtirme Uzmaný/ ERP Dynamics Ax /Dyn365,GvH Biliþim Yazýlým ve Danýþmanlýk Hizmetleri Tic.,"programming , web service , asp , azure , building , dynamic , microsoft , training , finance , erp , sql",https://www.kariyer.net//is-ilani/gvh-bilisim-yazilim-ve-danismanlik-hizmetleri-tic-yazilim-gelistirme-uzmani-erp-dynamics-ax-dyn365-3450224
Yazýlým Geliþtirme Uzmaný,POLÝSAN HOLDÝNG A.Þ,"ajax , crm , html5 , cs , mvc , sql , dynamic , linq , json",https://www.kariyer.net//is-ilani/polisan-holding-a-s-yazilim-gelistirme-uzmani-2555362
Yazýlým Geliþtirme Uzmaný (Java),CheckBox Software & Consultancy,"insurance , java , scrum , software development",https://www.kariyer.net//is-ilani/checkbox-software-consultancy-yazilim-gelistirme-uzmani-java-3442888
Back End Developer,MS TEKNOLOJÝ TÝCARET LÝMÝTED ÞÝRKETÝ,"ajax , html5 , mvc , laravel , mysql , postgresql",https://www.kariyer.net//is-ilani/ms-teknoloji-ticaret-limited-sirketi-back-end-developer-3459857
Android Geliþtirici,Pratik Aday Servisi,"git , android , java",https://www.kariyer.net//is-ilani/pratik-aday-servisi-android-gelistirici-3461013
Yazýlým Geliþtirme Uzmaný,ONUSS Bilg. Yaz. Dan. ve Dýþ Tic Ltd Þti.,"restful , javascript , cs , xml , html , microsoft , sql , microsoft sql server , json",https://www.kariyer.net//is-ilani/onuss-bilg-yaz-dan-ve-dis-tic-ltd-sti-yazilim-gelistirme-uzmani-3440243
Software Development Specialist,Deha Maðazacýlýk Ev Tekstili Ürünleri San. Tic. A.þ,"git , coding , software development , decoration , mathematics , installation , sale , erp , sql , postgresql , engineering",https://www.kariyer.net//is-ilani/deha-magazacilik-ev-tekstili-urunleri-san-tic-a-software-development-specialist-3428665
Yazýlým Geliþtirme Uzmaný,Deha Maðazacýlýk Ev Tekstili Ürünleri San. Tic. A.þ,"erp , git , sql , postgresql",https://www.kariyer.net//is-ilani/deha-magazacilik-ev-tekstili-urunleri-san-tic-a-yazilim-gelistirme-uzmani-3363165
Delphi Yazýlým Geliþtirme Uzmaný,Zirve Bilgi Teknolojileri A.Þ,"erp , delphi",https://www.kariyer.net//is-ilani/zirve-bilgi-teknolojileri-a-s-delphi-yazilim-gelistirme-uzmani-3417494
Yazýlým Geliþtirme Uzmaný,NEOMANÝ FÝLM YAPIM PRODÜKSÝYON ANONÝM ÞÝRKETÝ,"python , cs",https://www.kariyer.net//is-ilani/neomani-film-yapim-produksiyon-anonim-sirketi-yazilim-gelistirme-uzmani-3449207
Software Developer,SmartMessage,"git , elasticsearch , coding , programming , scrum , software development , web service , cassandra , c programming , mvc , mathematics , redis , design , statistic , xml , industrial engineering , sql , engineering",https://www.kariyer.net//is-ilani/smartmessage-software-developer-2902359
.Net Developer - Hybrid,Logo Yazýlým San Ve Tic A.Þ.,"git , ajax , coding , restful , software development , html5 , javascript , software architecture , bootstrap , typescript , mvc , xml , manufacturing , design , management , json",https://www.kariyer.net//is-ilani/logo-yazilim-san-ve-tic-a-s--net-developer-hybrid-3444396
Yazýlým Geliþtirme Uzmaný,ERA Consulting Services,"xml , sql , linq , oracle",https://www.kariyer.net//is-ilani/era-consulting-services-yazilim-gelistirme-uzmani-3444885
Yazýlým Geliþtirme Uzmaný,ÝZMÝR DOÐALGAZ DAÐITIM TÝCARET VE TAAHHÜT A.Þ.,"git , linq , microsoft , sql",https://www.kariyer.net//is-ilani/izmir-dogalgaz-dagitim-ticaret-ve-taahhut-a-s-yazilim-gelistirme-uzmani-3346448
Yazýlým Geliþtirme Uzmaný,Avva Maðazacýlýk A.Þ.,"erp , sql , typescript",https://www.kariyer.net//is-ilani/avva-magazacilik-a-s-yazilim-gelistirme-uzmani-3052753
Yazýlým Geliþtirme Uzmaný/Uzman Yrd.,CPM YAZILIM A.Þ.,erp,https://www.kariyer.net//is-ilani/cpm-yazilim-a-s-yazilim-gelistirme-uzmani-uzman-yrd-3464708
Mid/Senior Java Software Developer,Finartz Bilgi Teknolojileri A.Þ.,"git , restful , software development , apache solr , apache , java",https://www.kariyer.net//is-ilani/finartz-bilgi-teknolojileri-a-s-mid-senior-java-software-developer-1568645
Yazýlým Geliþtirme Uzmaný,Mesa Mesken Ýnþaat A.Þ.,sharepoint,https://www.kariyer.net//is-ilani/mesa-mesken-insaat-a-s-yazilim-gelistirme-uzmani-3365865
Yazýlým Geliþtirme Uzmaný,BÝHL VE WÝEDEMANN OTOMASYON SANAYÝ VE TÝC LTD.ÞTÝ.,"git , javascript , oracle , cs , mvc , linux , html , mysql , php , postgresql , sql",https://www.kariyer.net//is-ilani/bihl-ve-wiedemann-otomasyon-sanayi-ve-tic-ltd-sti-yazilim-gelistirme-uzmani-3463301
Yazýlým Geliþtirme Uzmaný,Gelecek Varlýk Yönetimi A.Þ.,"javascript , sql",https://www.kariyer.net//is-ilani/gelecek-varlik-yonetimi-a-s-yazilim-gelistirme-uzmani-3462340
Yazýlým Geliþtirme Uzmaný,Biggplus,"restful , software development , web service , javascript , cs , html , design , microsoft , agile development , sql , engineering",https://www.kariyer.net//is-ilani/biggplus-yazilim-gelistirme-uzmani-3337171
Yazýlým Geliþtirme Uzmaný,Banksoft Biliþim Bilgisayar Hizmetleri A.Þ.,"android , java , linux , microsoft , sql",https://www.kariyer.net//is-ilani/banksoft-bilisim-bilgisayar-hizmetleri-a-s-yazilim-gelistirme-uzmani-3394272
